ID,Age,Transportation expense,Distance from Residence to Work,Service time,Years until retirement,Disciplinary failure,Number of children,Social drinker,Social smoker,Number of pets,Weight,Height,Absenteeism time in hours,Day of the week_Monday,Day of the week_Saturday,Day of the week_Thursday,Day of the week_Tuesday,Day of the week_Wednesday,Seasons_Spring,Seasons_Summer,Seasons_Winter,Education_High School,Education_Master’s or PhD,Education_Postgraduate,bmi_category_Obesity Class I,bmi_category_Obesity Class II,bmi_category_Overweight,Month_sin,Month_cos,Reason_for_abs_freq
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,8,True,False,False,False,False,False,True,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.0075
6,33,189,29,13.0,32.0,0,2,0,0,2,69.0,167,8,False,False,True,False,False,False,True,False,True,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,0.0325
33,47,248,25,14.0,18.0,0,2,0,0,1,86.0,165,2,False,False,False,False,True,False,True,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
18,28,330,16,4.0,37.0,0,0,0,0,0,84.0,182,8,False,False,False,False,True,False,True,False,False,False,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.03125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.0325
10,28,361,52,3.0,37.0,0,1,1,0,4,80.0,172,40,True,False,False,False,False,False,True,False,True,False,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.06875
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,-0.8660254037844385,-0.5000000000000004,0.14
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,8,True,False,False,False,False,True,False,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
10,28,361,52,3.0,37.0,0,1,1,0,4,80.0,172,7,True,False,False,False,False,False,True,False,True,False,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.03875
10,28,361,52,3.0,37.0,0,1,1,0,4,80.0,172,7,True,False,False,False,False,True,False,False,True,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,1,False,False,False,True,False,False,True,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
30,29,157,27,6.0,36.0,0,0,1,1,0,79.0,185,4,False,False,False,False,True,False,True,False,True,False,False,False,False,False,-0.8660254037844385,-0.5000000000000004,0.14
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,8,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,2,False,False,False,False,False,False,True,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,8,True,False,False,False,False,True,False,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
2,48,235,29,12.0,17.0,0,1,0,1,5,88.0,163,8,False,False,True,False,False,False,True,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
1,37,235,11,14.0,28.0,0,1,0,0,1,88.0,172,4,False,False,True,False,False,False,True,False,False,False,True,False,False,True,-0.8660254037844385,-0.5000000000000004,0.26125
2,48,235,29,12.0,17.0,0,1,0,1,5,88.0,163,8,True,False,False,False,False,False,True,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.02625
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,2,True,False,False,False,False,False,True,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
10,28,361,52,3.0,37.0,0,1,1,0,4,80.0,172,1,True,False,False,False,False,False,True,False,True,False,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.26125
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,8,False,False,False,True,False,False,True,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.00375
19,32,291,50,12.0,33.0,0,0,1,0,0,65.0,169,4,False,False,True,False,False,False,True,False,True,False,False,False,False,False,-0.8660254037844385,-0.5000000000000004,0.0325
2,48,235,29,12.0,17.0,0,1,0,1,5,88.0,163,8,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-0.8660254037844385,-0.5000000000000004,0.14
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,-0.8660254037844385,-0.5000000000000004,0.26125
27,27,184,42,7.0,38.0,0,0,0,0,0,58.0,167,2,False,False,False,True,False,False,True,False,True,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.26125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,4,True,False,False,False,False,False,True,False,True,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,4,False,False,False,True,False,False,True,False,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
5,43,235,20,13.0,22.0,0,1,1,0,0,106.0,167,8,False,False,False,True,False,True,False,False,True,False,False,False,True,False,-1.0,-1.8369701987210297e-16,0.05
14,34,155,12,14.0,31.0,0,2,1,0,0,95.0,196,2,False,False,False,False,True,False,True,False,True,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
14,34,155,12,14.0,31.0,0,2,1,0,0,95.0,196,2,True,False,False,False,False,True,False,False,True,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,3,True,False,False,False,False,False,True,False,True,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,3,False,False,False,True,False,False,True,False,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
15,40,291,31,12.0,25.0,0,1,1,0,1,73.0,171,4,False,False,True,False,False,False,True,False,True,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,8,False,False,False,False,False,False,True,False,True,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.0475
15,40,291,31,12.0,25.0,0,1,1,0,1,73.0,171,32,True,False,False,False,False,True,False,False,True,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.02375
20,36,260,50,11.0,29.0,1,4,1,0,0,65.0,168,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.05375
29,28,225,26,9.0,37.0,1,1,0,0,2,69.0,169,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.05375
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,2,False,False,False,True,False,True,False,False,True,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.26125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,False,False,False,True,False,True,False,False,True,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.26125
11,33,289,36,13.0,32.0,1,2,1,0,1,90.0,172,0,False,False,False,True,False,True,False,False,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.05375
36,50,118,13,18.0,15.0,1,1,1,0,0,98.0,178,0,False,False,False,True,False,True,False,False,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.05375
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,3,False,False,False,False,True,True,False,False,True,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.02625
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,3,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
13,31,369,17,12.0,34.0,1,3,1,0,0,70.0,169,0,False,False,False,False,True,True,False,False,True,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.05375
33,47,248,25,14.0,18.0,0,2,0,0,1,86.0,165,1,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,3,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.26125
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,4,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-1.0,-1.8369701987210297e-16,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,3,False,False,False,True,False,True,False,False,True,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,3,True,False,False,False,False,True,False,False,True,False,False,True,False,False,1.0,6.123233995736766e-17,0.26125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,3,False,False,False,True,False,True,False,False,True,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.26125
36,50,118,13,18.0,15.0,1,1,1,0,0,98.0,178,0,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.05375
22,30,179,26,9.0,35.0,0,0,0,0,0,56.0,171,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,-0.8660254037844386,0.5000000000000001,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,3,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.26125
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.26125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,3,False,False,False,True,False,True,False,False,True,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.26125
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,2,False,False,False,False,True,True,False,False,True,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.26125
33,47,248,25,14.0,18.0,0,2,0,0,1,86.0,165,2,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.26125
15,40,291,31,12.0,25.0,0,1,1,0,1,73.0,171,5,False,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,8,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.26125
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,3,False,False,False,False,True,True,False,False,True,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.26125
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,16,False,False,True,False,False,True,False,False,True,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.05
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,16,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
15,40,291,31,12.0,25.0,0,1,1,0,1,73.0,171,8,False,False,False,True,False,True,False,False,True,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.02375
15,40,291,31,12.0,25.0,0,1,1,0,1,73.0,171,8,True,False,False,False,False,True,False,False,True,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,2,False,False,False,True,False,True,False,False,True,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.14
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,8,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.04125
10,28,361,52,3.0,37.0,0,1,1,0,4,80.0,172,1,False,False,False,False,False,True,False,False,True,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.26125
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.14
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.26125
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.26125
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,8,False,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.06875
17,40,179,22,17.0,25.0,0,2,0,1,0,63.0,170,8,False,False,True,False,False,True,False,False,False,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.0075
15,40,291,31,12.0,25.0,0,1,1,0,1,73.0,171,5,False,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.26125
14,34,155,12,14.0,31.0,0,2,1,0,0,95.0,196,32,True,False,False,False,False,True,False,False,True,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.03125
6,33,189,29,13.0,32.0,0,2,0,0,2,69.0,167,8,True,False,False,False,False,True,False,False,True,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.0475
15,40,291,31,12.4,25.0,0,1,1,0,1,73.0,171,40,True,False,False,False,False,True,False,False,True,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.02375
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.26125
14,34,155,12,14.0,31.0,0,2,1,0,0,95.0,196,8,False,False,False,False,False,True,False,False,True,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.01
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,3,False,False,False,False,True,True,False,False,True,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.26125
17,40,179,22,17.0,25.0,0,2,0,1,0,63.0,170,8,False,False,False,False,True,True,False,False,False,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.0075
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.06875
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,4,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.14
33,47,248,25,14.0,18.0,0,2,0,0,1,86.0,165,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.14
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,3,False,False,False,True,False,True,False,False,True,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.14
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,24,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.01875
15,40,291,31,12.0,25.0,0,1,1,0,1,73.0,171,3,False,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.26125
33,47,248,25,14.0,18.0,0,2,0,0,1,86.0,165,1,False,False,False,True,False,True,False,False,True,False,False,True,False,False,-2.4492935982947064e-16,1.0,0.26125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,64,False,False,False,True,False,True,False,False,True,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.05
36,50,118,13,18.0,15.0,0,1,1,0,0,98.0,178,2,False,False,False,False,True,True,False,False,True,False,False,True,False,False,-2.4492935982947064e-16,1.0,0.26125
1,37,235,11,14.0,28.0,0,1,0,0,1,88.0,172,8,False,False,False,False,True,True,False,False,False,False,True,False,False,True,-2.4492935982947064e-16,1.0,0.04125
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.26125
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,8,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.04125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,56,False,False,False,True,False,True,False,False,True,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.05
10,28,361,52,3.0,37.0,0,1,1,0,4,80.0,172,8,False,False,False,False,True,True,False,False,True,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.0475
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,3,False,False,True,False,False,True,False,False,True,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.14
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.14
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,2,False,False,False,True,False,True,False,False,True,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.26125
10,28,361,52,3.0,37.0,0,1,1,0,4,80.0,172,8,False,False,False,False,True,True,False,False,True,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.0475
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,False,False,False,False,False,True,False,False,True,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.08625
24,41,246,25,16.0,24.0,0,0,1,0,0,67.0,170,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.05
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.26125
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.26125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,1,True,False,False,False,False,True,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.05
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,1,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,1,True,False,False,False,False,True,False,False,True,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
14,34,155,12,14.0,31.0,0,2,1,0,0,95.0,196,8,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.02625
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,2,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.08625
27,27,184,42,7.0,38.0,0,0,0,0,0,58.0,167,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.26125
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.14
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.08625
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,2,False,False,False,True,False,True,False,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.08625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,False,False,False,False,True,True,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,False,False,False,False,False,True,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
22,30,179,26,9.0,35.0,0,0,0,0,0,56.0,171,8,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.49999999999999994,0.8660254037844387,0.02625
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,8,False,False,False,True,False,False,False,False,True,False,False,True,False,False,0.49999999999999994,0.8660254037844387,0.02625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,True,False,False,False,False,True,False,False,True,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
27,27,184,42,7.0,38.0,0,0,0,0,0,58.0,167,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.26125
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,2,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
34,37,118,10,10.0,28.0,0,0,0,0,0,83.0,172,0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
28,28,225,26,9.0,37.0,0,1,0,0,2,69.0,169,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.26125
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,3,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.49999999999999994,0.8660254037844387,0.0475
27,27,184,42,7.0,38.0,0,0,0,0,0,58.0,167,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.26125
24,41,246,25,16.0,24.0,0,0,1,0,0,67.0,170,8,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.02
3,38,179,51,18.0,27.0,0,0,1,0,0,89.0,170,8,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.8660254037844386,0.5000000000000001,0.0325
14,34,155,12,14.0,31.0,0,2,1,0,0,95.0,196,2,False,False,True,False,False,True,False,False,True,False,False,False,False,True,0.8660254037844386,0.5000000000000001,0.14
6,33,189,29,13.0,32.0,0,2,0,0,2,69.0,167,8,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.8660254037844386,0.5000000000000001,0.26125
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.14
20,36,260,50,11.0,29.0,0,4,1,0,0,65.0,168,2,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
11,33,289,36,13.0,32.0,0,2,1,0,1,90.0,172,8,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.8660254037844386,0.5000000000000001,0.0475
31,50,388,15,9.0,15.0,0,0,0,0,0,72.4,178,8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.0325
31,50,388,15,9.0,15.0,0,0,0,0,0,76.0,178,8,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.02
