Transportation expense,Distance from Residence to Work,Service time,Years until retirement,Date of Birth,Disciplinary failure,Number of children,Social drinker,Social smoker,Number of pets,Weight,Height,Absenteeism time in hours,Day of the week_Monday,Day of the week_Saturday,Day of the week_Thursday,Day of the week_Tuesday,Day of the week_Wednesday,Seasons_Spring,Seasons_Summer,Seasons_Winter,Education_2,Education_3,Education_4,bmi_category_Obesity Class I,bmi_category_Obesity Class II,bmi_category_Overweight,Month_sin,Month_cos,Reason_for_abs_freq
291,31,12,25,1985-05-20,No,1,Yes,No,1,73,171,3,False,False,True,False,False,True,False,False,False,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.26125
248,25,14,18,1978-02-16,No,2,No,No,1,86,165,1,False,False,False,True,False,True,False,False,False,False,False,True,False,False,-2.4492935982947064e-16,1.0,0.26125
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,64,False,False,False,True,False,True,False,False,False,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.05
118,13,18,15,1975-09-02,No,1,Yes,No,0,98,178,2,False,False,False,False,True,True,False,False,False,False,False,True,False,False,-2.4492935982947064e-16,1.0,0.26125
235,11,14,28,1988-06-01,No,1,No,No,1,-,172,8,False,False,False,False,True,True,False,False,False,True,False,False,False,True,-2.4492935982947064e-16,1.0,0.04125
225,26,9,37,1997-08-03,No,1,No,No,2,-,169,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.26125
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.04125
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,56,False,False,False,True,False,True,False,False,False,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.05
361,52,3,37,1997-07-08,No,1,Yes,No,4,80,172,8,False,False,False,False,True,True,False,False,False,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.0475
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.14
260,50,11,29,1989-02-20,No,4,Yes,No,0,65,168,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.14
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.26125
361,52,3,37,1997-07-08,No,1,Yes,No,4,80,172,8,False,False,False,False,True,True,False,False,False,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.0475
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-2.4492935982947064e-16,1.0,0.08625
246,25,16,24,1984-10-01,No,0,Yes,No,0,67,170,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.05
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-2.4492935982947064e-16,1.0,0.26125
225,26,-,37,1997-08-03,No,1,No,No,2,69,169,1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.26125
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.05
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
155,12,14,31,1991-09-10,No,2,Yes,No,0,95,196,8,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.02625
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.08625
184,42,7,38,1998-12-19,No,0,No,No,0,58,167,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.26125
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.14
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.08625
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,2,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.08625
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
118,10,10,-1,1988-05-10,No,0,No,No,0,83,172,2,False,False,False,False,True,True,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
118,10,10,28,1988-05-10,No,0,No,No,0,-,172,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,2,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
179,26,9,35,1995-08-01,No,0,No,No,0,56,171,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.49999999999999994,0.8660254037844387,0.02625
289,36,13,-1,1992-08-15,No,2,Yes,No,1,90,172,8,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.49999999999999994,0.8660254037844387,0.02625
118,10,10,28,1988-05-10,No,0,No,No,0,-,172,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
118,10,10,28,1988-05-10,No,0,No,No,0,-,172,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,6.123233995736766e-17,0.26125
184,42,7,38,1998-12-19,No,0,No,No,0,58,167,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.26125
118,10,10,28,1988-05-10,No,0,No,No,0,83,172,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
118,10,10,28,1988-05-10,No,0,No,No,0,-,172,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.08625
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.26125
289,36,13,32,1992-08-15,No,2,Yes,No,1,90,172,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.49999999999999994,0.8660254037844387,0.0475
184,42,7,38,1998-12-19,No,0,No,No,0,58,167,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.26125
246,25,16,24,1984-10-01,No,0,Yes,No,0,67,170,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.02
179,51,18,27,1987-04-08,No,0,Y,No,0,89,170,8,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.8660254037844386,0.5000000000000001,0.0325
155,12,14,31,1991-09-10,No,2,Yes,No,0,95,196,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0.8660254037844386,0.5000000000000001,0.14
189,29,13,32,1992-05-24,No,2,No,No,2,-,167,8,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.8660254037844386,0.5000000000000001,0.26125
260,50,11,29,1989-02-20,No,4,Y,No,0,65,168,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.14
260,50,11,29,1989-02-20,No,4,Y,No,0,65,168,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,6.123233995736766e-17,0.26125
289,36,13,-1,1992-08-15,No,2,Yes,No,1,90,172,8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.8660254037844386,0.5000000000000001,0.0475
388,15,9,15,1975-06-07,No,0,No,No,0,-,178,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.0325
388,15,9,15,1975-06-07,No,0,No,No,0,76,178,8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.02
225,26,9,-1,1997-08-03,No,1,No,No,2,69,169,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.14
225,26,9,37,1997-08-03,No,1,No,No,2,69,169,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.26125
179,26,9,35,1995-08-01,No,0,No,No,0,56,171,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.8660254037844386,0.5000000000000001,0.26125
